Host,Protocol,Local Address,Port,State
localhost,tcp,10.217.86.78,10250,LISTEN
localhost,tcp,10.217.86.78,10256,LISTEN
localhost,tcp,10.217.86.78,14311,LISTEN
localhost,tcp,10.217.86.78,14314,LISTEN
localhost,tcp,10.217.86.78,14316,LISTEN
localhost,tcp,10.217.86.78,14317,LISTEN
localhost,tcp,10.217.86.78,20022,LISTEN
localhost,tcp,10.217.86.78,65002,LISTEN
localhost,tcp,10.217.86.78,65202,LISTEN
localhost,tcp,10.217.86.79,10250,LISTEN
localhost,tcp,10.217.86.79,10256,LISTEN
localhost,tcp,10.217.86.79,14311,LISTEN
localhost,tcp,10.217.86.79,14314,LISTEN
localhost,tcp,10.217.86.79,14316,LISTEN
localhost,tcp,10.217.86.79,14317,LISTEN
localhost,tcp,10.217.86.79,20022,LISTEN
localhost,tcp,10.217.86.79,65002,LISTEN
localhost,tcp,10.217.86.79,65202,LISTEN
localhost,tcp,10.217.86.80,10250,LISTEN
localhost,tcp,10.217.86.80,10256,LISTEN
localhost,tcp,10.217.86.80,14311,LISTEN
localhost,tcp,10.217.86.80,14314,LISTEN
localhost,tcp,10.217.86.80,14316,LISTEN
localhost,tcp,10.217.86.80,14317,LISTEN
localhost,tcp,10.217.86.80,20022,LISTEN
localhost,tcp,10.217.86.80,65002,LISTEN
localhost,tcp,10.217.86.80,65202,LISTEN
localhost,tcp,10.217.86.81,10250,LISTEN
localhost,tcp,10.217.86.81,10256,LISTEN
localhost,tcp,10.217.86.81,14311,LISTEN
localhost,tcp,10.217.86.81,14314,LISTEN
localhost,tcp,10.217.86.81,14316,LISTEN
localhost,tcp,10.217.86.81,14317,LISTEN
localhost,tcp,10.217.86.81,20022,LISTEN
localhost,tcp,10.217.86.81,65002,LISTEN
localhost,tcp,10.217.86.81,65202,LISTEN
localhost,tcp,10.217.86.82,10250,LISTEN
localhost,tcp,10.217.86.82,10256,LISTEN
localhost,tcp,10.217.86.82,14311,LISTEN
localhost,tcp,10.217.86.82,14314,LISTEN
localhost,tcp,10.217.86.82,14316,LISTEN
localhost,tcp,10.217.86.82,14317,LISTEN
localhost,tcp,10.217.86.82,20022,LISTEN
localhost,tcp,10.217.86.82,65002,LISTEN
localhost,tcp,10.217.86.82,65202,LISTEN
localhost,tcp,10.217.86.83,10250,LISTEN
localhost,tcp,10.217.86.83,10256,LISTEN
localhost,tcp,10.217.86.83,14311,LISTEN
localhost,tcp,10.217.86.83,14314,LISTEN
localhost,tcp,10.217.86.83,14316,LISTEN
localhost,tcp,10.217.86.83,14317,LISTEN
localhost,tcp,10.217.86.83,20022,LISTEN
localhost,tcp,10.217.86.83,22852,LISTEN
localhost,tcp,10.217.86.83,65002,LISTEN
localhost,tcp,10.217.86.83,65202,LISTEN
localhost,tcp,10.217.86.84,10250,LISTEN
localhost,tcp,10.217.86.84,14311,LISTEN
localhost,tcp,10.217.86.84,14314,LISTEN
localhost,tcp,10.217.86.84,14316,LISTEN
localhost,tcp,10.217.86.84,14317,LISTEN
localhost,tcp,10.217.86.84,20022,LISTEN
localhost,tcp,10.217.86.84,22852,LISTEN
localhost,tcp,10.217.86.84,65002,LISTEN
localhost,tcp,10.217.86.84,65202,LISTEN
localhost,tcp,10.217.86.94,53,LISTEN
localhost,tcp,10.217.86.95,17107,LISTEN
localhost,tcp,10.217.86.95,17112,LISTEN
localhost,tcp,10.217.86.95,17131,LISTEN
localhost,tcp,10.217.86.95,8080,LISTEN
localhost,tcp,10.217.86.95,8081,LISTEN
localhost,tcp,182.10.48.0,20022,LISTEN
localhost,tcp,182.10.5.0,20022,LISTEN
localhost,tcp,182.10.5.1,20022,LISTEN
localhost,tcp,182.10.6.0,20022,LISTEN
localhost,tcp,182.10.7.0,20022,LISTEN
localhost,tcp,192.168.210.5,53,LISTEN
localhost,tcp,192.168.96.30,20022,LISTEN
localhost,tcp,192.168.96.31,20022,LISTEN
localhost,tcp,192.168.96.46,20022,LISTEN
localhost,tcp,192.168.96.61,16223,LISTEN
localhost,tcp,192.168.96.61,16553,LISTEN
localhost,tcp,192.168.96.61,16563,LISTEN
localhost,tcp,192.168.96.61,18800,LISTEN
localhost,tcp,192.168.96.61,18801,LISTEN
localhost,tcp,192.168.96.61,18806,LISTEN
localhost,tcp,192.168.96.61,18807,LISTEN
localhost,tcp,192.168.96.61,18808,LISTEN
localhost,tcp,192.168.96.61,18809,LISTEN
localhost,tcp,192.168.96.61,18810,LISTEN
localhost,tcp,192.168.96.61,18811,LISTEN
localhost,tcp,192.168.96.61,18820,LISTEN
localhost,tcp,192.168.96.61,18821,LISTEN
localhost,tcp,192.168.96.61,18888,LISTEN
localhost,tcp,192.168.96.61,19999,LISTEN
localhost,tcp,192.168.96.61,20022,LISTEN
localhost,tcp,192.168.96.61,21066,LISTEN
localhost,tcp,192.168.96.61,21088,LISTEN
localhost,tcp,192.168.96.61,21188,LISTEN
localhost,tcp,192.168.96.61,21189,LISTEN
localhost,tcp,192.168.96.61,21550,LISTEN
localhost,tcp,192.168.96.61,22088,LISTEN
localhost,tcp,192.168.96.61,22,LISTEN
localhost,tcp,192.168.96.61,34555,LISTEN
localhost,tcp,192.168.96.61,34556,LISTEN
localhost,tcp,192.168.96.61,34557,LISTEN
localhost,tcp,192.168.96.61,4444,LISTEN
localhost,tcp,192.168.96.61,4543,LISTEN
localhost,tcp,192.168.96.61,4643,LISTEN
localhost,tcp,192.168.96.61,4743,LISTEN
localhost,tcp,192.168.96.61,4943,LISTEN
localhost,tcp,192.168.96.61,6448,LISTEN
localhost,tcp,192.168.96.61,6449,LISTEN
localhost,tcp,192.168.96.62,16223,LISTEN
localhost,tcp,192.168.96.62,16553,LISTEN
localhost,tcp,192.168.96.62,16563,LISTEN
localhost,tcp,192.168.96.62,18800,LISTEN
localhost,tcp,192.168.96.62,18801,LISTEN
localhost,tcp,192.168.96.62,18807,LISTEN
localhost,tcp,192.168.96.62,18810,LISTEN
localhost,tcp,192.168.96.62,18811,LISTEN
localhost,tcp,192.168.96.62,18820,LISTEN
localhost,tcp,192.168.96.62,18821,LISTEN
localhost,tcp,192.168.96.62,18888,LISTEN
localhost,tcp,192.168.96.62,21066,LISTEN
localhost,tcp,192.168.96.62,21188,LISTEN
localhost,tcp,192.168.96.62,21189,LISTEN
localhost,tcp,192.168.96.62,21550,LISTEN
localhost,tcp,192.168.96.62,34556,LISTEN
localhost,tcp,192.168.96.62,34557,LISTEN
localhost,tcp,192.168.96.62,4543,LISTEN
localhost,tcp,192.168.96.62,4643,LISTEN
localhost,tcp,192.168.96.62,6448,LISTEN
localhost,tcp,192.168.96.62,6449,LISTEN
localhost,tcp,192.168.96.63,17107,LISTEN
localhost,tcp,192.168.96.63,17112,LISTEN
localhost,tcp,192.168.96.63,17131,LISTEN
localhost,tcp,192.168.96.63,19143,LISTEN
localhost,tcp,192.168.96.63,8080,LISTEN
localhost,tcp,192.168.96.63,8081,LISTEN
localhost,tcp,192.168.96.63,8085,LISTEN
localhost,tcp,192.168.96.63,8086,LISTEN
localhost,tcp,192.168.96.63,8087,LISTEN
localhost,tcp,192.168.96.68,20022,LISTEN
localhost,tcp,192.168.96.68,22,LISTEN
